ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
1000,Type 1,タイプ1,,,,Сбритые,,
1100,Type 2,タイプ2,,,,Редеющие,,
1200,Type 3,タイプ3,,,,Короткие,,
1300,Type 4,タイプ4,,,,Зачесанные,,
1400,Type 5,タイプ5,,,,Хвостик,,
1500,Type 6,タイプ6,,,,Непослушные,,
1600,Type 7,タイプ7,,,,С пробором,,
1700,Type 8,タイプ8,,,,Полудлинные,,
1800,Type 9,タイプ9,,,,Кудрявые,,
1900,Type 10,タイプ10,,,,Коротко стриженные,,
2000,Type 11,タイプ11,,,,Мужчина 11,,
2100,Type 12,タイプ12,,,,Мужчина 12,,
2200,Type 13,タイプ13,,,,Мужчина 13,,
2300,Type 14,タイプ14,,,,Мужчина 14,,
2400,Type 15,タイプ15,,,,Мужчина 15,,
2500,Type 16,タイプ16,,,,Мужчина 16,,
2600,Type 17,タイプ17,,,,Мужчина 17,,
2700,Type 18,タイプ18,,,,Мужчина 18,,
2800,Type 19,タイプ19,,,,Мужчина 19,,
2900,Type 20,タイプ20,,,,Мужчина 20,,
3000,Type 1,タイプ1,,,,Сбритые,,
3100,Type 2,タイプ2,,,,Очень короткие,,
3200,Type 3,タイプ3,,,,Волнистые,,
3300,Type 4,タイプ4,,,,Прямые A,,
3400,Type 5,タイプ5,,,,Прямые B,,
3500,Type 6,タイプ6,,,,Хвостик A,,
3600,Type 7,タイプ7,,,,Хвостик B,,
3700,Type 8,タイプ8,,,,Косички,,
3800,Type 9,タイプ9,,,,Пучок,,
3900,Type 10,タイプ10,,,,Коса,,
4000,Type 11,タイプ11,,,,Женщина 11,,
4100,Type 12,タイプ12,,,,Женщина 12,,
4200,Type 13,タイプ13,,,,Женщина 13,,
4300,Type 14,タイプ14,,,,Женщина 14,,
4400,Type 15,タイプ15,,,,Женщина 15,,
4500,Type 16,タイプ16,,,,Женщина 16,,
4600,Type 17,タイプ17,,,,Женщина 17,,
4700,Type 18,タイプ18,,,,Женщина 18,,
4800,Type 19,タイプ19,,,,Женщина 19,,
4900,Type 20,タイプ20,,,,Женщина 20,,
5000,Travel Hairstyle,徘徊髪型,,[ERROR]Мандрівна зачіска,,Дорожная прическа,,
10000,Head,頭,头部,Голова,,Голова,,
10100,Body,胴,身体,Тіло,,Торс,,
10200,Arms,腕,腕部,Руки,,Руки,,
10300,Legs,脚,腿部,Ноги,,Ноги,,
40000,Iron Helmet,鉄の兜,铁头盔,Залізний шолом,,Железный шлем,,
40100,Scale Armor,スケイルアーマー,鳞甲,Лускатий панцир,,Чешуйчатый доспех,,
40200,Iron Gauntlets,鉄の手甲,铁臂甲,Залізні рукавички,,Железные перчатки,,
40300,Leather Trousers,革のズボン,皮革长裤,Шкіряні штани,,Кожаные штаны,,
50000,Kaiden Helm,カイデンの兜,凯丹头盔,Кайденський шолом,,Шлем из Кайдена,,
50100,Kaiden Armor,カイデンの鎧,凯丹铠甲,Кайденський панцир,,Доспех из Кайдена,,
50200,Kaiden Gauntlets,カイデンの手甲,凯丹臂甲,Кайденські рукавички,,Перчатки из Кайдена,,
