ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
10,test gem 1,テスト魔石1,,,,,,
20,test gem 2,テスト魔石2,,,,,,
30,test gem 3,テスト魔石3,,,,,,
40,,特殊効果テスト魔石,,,,,,
41,,特殊効果テスト魔石2,,,,,,
80,,属性変化テスト_標準,,,,,,
81,,属性変化テスト_筋力,,,,,,
82,,属性変化テスト_技量,,,,,,
83,,属性変化テスト_上質,,,,,,
84,,属性変化テスト_神聖,,,,,,
85,,属性変化テスト_魔力,,,,,,
86,,属性変化テスト_霊,,,,,,
87,,属性変化テスト_戦士炎,,,,,,
88,,属性変化テスト_術士炎,,,,,,
89,,属性変化テスト_雷,,,,,,
90,,属性変化テスト_血,,,,,,
100,,汎用アーツテスト魔石_空中前転叩き付け,,,,,,
101,,汎用アーツテスト魔石_貫通突き,,,,,,
102,,汎用アーツテスト魔石_貫通刀,,,,,,
103,,汎用アーツテスト魔石_回転斬り,,,,,,
104,,汎用アーツテスト魔石_回転薙ぎ,,,,,,
105,,汎用アーツテスト魔石_突撃,,,,,,
106,,汎用アーツテスト魔石_踏込み+斬り上げ,,,,,,
107,,汎用アーツテスト魔石_踏込み+回転,,,,,,
108,,汎用アーツテスト魔石_ドレイン多段突き,,,,,,
109,,汎用アーツテスト魔石_多段突き,,,,,,
110,,汎用アーツテスト魔石_構え乱舞・斧,,,,,,
111,,汎用アーツテスト魔石_構え乱舞・斧槍,,,,,,
112,,汎用アーツテスト魔石_単発乱舞,,,,,,
113,,汎用アーツテスト魔石_スモウトレイン,,,,,,
114,,汎用アーツテスト魔石_居合（刀）,,,,,,
115,,汎用アーツテスト魔石_構え（直剣）,,,,,,
116,,汎用アーツテスト魔石_踏み込み突き上げ,,,,,,
117,,汎用アーツテスト魔石_松明攻撃,,,,,,
118,,汎用アーツテスト魔石_飛び込みエンチャ斬り,,,,,,
119,,汎用アーツテスト魔石_二撃必毒,,,,,,
120,,汎用アーツテスト魔石_バトン攻撃,,,,,,
121,,汎用アーツテスト魔石_黒騎士構え,,,,,,
122,,汎用アーツテスト魔石_嵐跳躍突き下ろし,,,,,,
123,,汎用アーツテスト魔石_嵐回転薙ぎ,,,,,,
124,,汎用アーツテスト魔石_ファンネル＋突き,,,,,,
125,,汎用アーツテスト魔石_魔法攻撃＋エンチャント,,,,,,
126,,汎用アーツテスト魔石_ゲイボルグ,,,,,,
127,,汎用アーツテスト魔石_中距離弾＋接近,,,,,,
128,,汎用アーツテスト魔石_血の斬撃,,,,,,
129,,汎用アーツテスト魔石_ドレイン攻撃,,,,,,
130,,汎用アーツテスト魔石_溶岩設置,,,,,,
131,,汎用アーツテスト魔石_大回復叩き,,,,,,
132,,汎用アーツテスト魔石_重力引き寄せ,,,,,,
133,,汎用アーツテスト魔石_ソニックブーム,,,,,,
134,,汎用アーツテスト魔石_幻影二重斬り,,,,,,
135,,汎用アーツテスト魔石_地震,,,,,,
136,,汎用アーツテスト魔石_世界樹地震,,,,,,
137,,汎用アーツテスト魔石_炎薙ぎ払い＋纏い斬り,,,,,,
138,,汎用アーツテスト魔石_連続落雷,,,,,,
139,,汎用アーツテスト魔石_落雷＋斬り下ろし,,,,,,
140,,汎用アーツテスト魔石_ソウルの特大剣,,,,,,
141,,汎用アーツテスト魔石_ソウルの特大剣_2段階,,,,,,
142,,汎用アーツテスト魔石_真空波斬り,,,,,,
143,,汎用アーツテスト魔石_ファイアトルネード,,,,,,
144,,汎用アーツテスト魔石_ミケラの光輪,,,,,,
146,,汎用アーツテスト魔石_シールドバッシュ,,,,,,
147,,汎用アーツテスト魔石_剛力弾き,,,,,,
148,,汎用アーツテスト魔石_パリィ,,,,,,
149,,汎用アーツテスト魔石_バックラーパリィ,,,,,,
151,,汎用アーツテスト魔石_魔法パリィ,,,,,,
152,,汎用アーツテスト魔石_飛び道具パリィ,,,,,,
153,,汎用アーツテスト魔石_遠隔パリィ,,,,,,
155,,汎用アーツテスト魔石_貫通射撃,,,,,,
156,,汎用アーツテスト魔石_連続射撃,,,,,,
157,,汎用アーツテスト魔石_強射,,,,,,
158,,汎用アーツテスト魔石_誘導撃ち,,,,,,
159,,汎用アーツテスト魔石_曲射,,,,,,
160,,汎用アーツテスト魔石_アローレイン,,,,,,
161,,汎用アーツテスト魔石_不可視撃ち,,,,,,
163,,汎用アーツテスト魔石_震脚・地ならし,,,,,,
164,,汎用アーツテスト魔石_震脚・霜踏み,,,,,,
165,,汎用アーツテスト魔石_震脚・嵐,,,,,,
166,,汎用アーツテスト魔石_キック,,,,,,
167,,汎用アーツテスト魔石_ローリング攻撃,,,,,,
168,,汎用アーツテスト魔石_単発範囲アーツ,,,,,,
169,,汎用アーツテスト魔石_ヒップドロップ,,,,,,
170,,汎用アーツテスト魔石_ヒップドロップ＋魔法弾,,,,,,
171,,汎用アーツテスト魔石_地面めくり上げ魔法弾,,,,,,
