ID,DESCRIPTION
0,Gold fog wall
1,Gold fog wall
2,
3,
4,
10,
65,
66,
67,
68,
69,
70,
110,Fire Pot
111,Fire Pot (impact?)
126,Blood pot
127,Blood pot impact
128,
129,
130,Rainbow Stone
131,Rainbow Stone Death
132,Rainbow Stone Death
148,
150,Fetid Pot (Dung Pie)
151,
155,Insect Pot
156,
157,
158,
250,Lightning Pot
251,Lightning Pot impact
252,
253,
254,
255,
256,Magic 7530:Black Blade
260,
261,
300,
304,
370,
380,
385,
430,
431,
900,
950,
1000,Blood Status Effect Bullet   E_Id_500   Beh Id 2100   
1005,Poison And Scarlet Rot Status Effect Bullet   E_Id_505   Beh Id 2105   
1100,
1101,
1500,Flask Of Crimson Tears +0   
1501,Flask Of Crimson Tears +1   
1502,Flask Of Crimson Tears +2   
1503,Flask Of Crimson Tears +3   
1504,Flask Of Crimson Tears +4   
1505,Flask Of Crimson Tears +5   
1506,Flask Of Crimson Tears +6   
1507,Flask Of Crimson Tears +7   
1508,Flask Of Crimson Tears +8   
1509,Flask Of Crimson Tears +9   
1510,Flask Of Crimson Tears +10   
1511,Flask Of Crimson Tears +11   
1512,Flask Of Crimson Tears +12   
2000,[AoW]   Flaming Strike   
2001,[AoW]   Flaming Strike   
2002,[AoW]   Flaming Strike   
2003,[AoW]   Flaming Strike   
2004,[AoW]   Flaming Strike   
2005,[AoW]   Establish Ordergolden Order Gr-Sword   
2006,[AoW]   Golden Order Gr-Sword Establish Order   
2007,[AoW]   Golden Order Gr-Sword Establish Order   
2008,[AoW]   Golden Order Gr-Sword Establish Order   
2010,[AoW]   Eruption   
2011,[AoW]   Eruption   
2012,[AoW]   Eruption   
2013,[AoW]   Eruption   
2014,[AoW]   Eruption   
2015,[AoW]   Eruption   
2016,[AoW]   Eruption   
2017,[AoW]   Eruption   
2018,[AoW]   Eruption   
2019,[AoW]   Eruption   
2020,[AoW]   Familial Rancorfamily Heads   
2021,[AoW]   Family Heads Familial Rancor   
2022,[AoW]   Family Heads Familial Rancor   
2023,[AoW]   Family Heads Familial Rancor   
2024,[AoW]   Family Heads Familial Rancor   
2025,[AoW]   Family Heads Familial Rancor   
2030,[AoW]   Takers Flamesblasphemous Blade   
2031,[AoW]   Blasphemous Blade Takers Flames   
2032,[AoW]   Blasphemous Blade Takers Flames   
2033,[AoW]   Blasphemous Blade Takers Flames   
2035,[AoW]   Envoys Horn Oracular Bubble   
2036,[AoW]   Envoys Horn Oracular Bubble   
2040,[AoW]   
2041,[AoW]   
2050,[AoW]   
2051,[AoW]   
2052,[AoW]   
2053,[AoW]   
2054,[AoW]   
2055,[AoW]   
2060,[AoW]   Storm Blade   
2061,[AoW]   Vacuum Slice Emitter   
2062,[AoW]   Vacuum Slice   
2063,[AoW]   Vacuum Slice   
2065,[AoW]   Winged Gr-Horn Soul Stifler   
2070,[AoW]   Holy Ground   
2071,[AoW]   Holy Ground   
2072,[AoW]   Holy Ground   
2073,[AoW]   Holy Ground   
2075,[AoW]   Marikas Hammer Gold Breaker   
