ID,DESCRIPTION
0,Inescapable Frenzy
1,Glint Pebble Glint Icecrag
2,Glint Cometshard Night Comet
3,Madness
4,Crystal Barrage
5,Loretta Greatbow Loretta Mastery
6,Moon Spells
7,Comet Of Azur Crystal Torrent
8,Glintblade Phalanx Carrian Phalanx Eternal Darkness
9,Carian Greatsword Adula Moonblade
10,Carrian Piercer
11,Scholar Armament Frozen Armament Unseen Blade
12,Scholar Shield
13,Terra Magicus Starlight Lucidity
14,Zamor Ice Storm
15,Meteorite Meteorite Of Astel
16,Glintstone Arc
17,Flame Sling Flame Fall Upon Them Giantsflame Take Thee Black Flame
18,???????
19,Flame Of The Fell God
20,Whirl O Flame!
21,Flame Of Frenzy
22,Scouring Black Flame
23,Surge O Flame
24,Burn O Flame! Fire Deadly Sin
25,O Flame!
26,Shadow Bait Darkness Swarm Of Flies Poison Mist
27,Discus Of Light Triple Rings Of Light
28,Rejection
29,Wrath Of Gold
30,???????
31,Flame Cleanse Me Flame Grant Me Str Flame Protect Me Black Flame Protection Bestial Vitality Bestial Consituition
32,Black Flame Blade
33,Urgent Heal Cure Poison Flame Fortification Magic Fortification Lightning Fortification Divine Fortification /
34,Barrier Of Gold Protection Of The Erdtree Heal Great Heal Lord Heal Erdtree Heal Blessing Boon Blessing Of The Erdtree Lord Aid Lord Divine Fortification Golden Lightning Fortification
35,Golden Vow
36,Lightning Spear
37,Stone Of Gurranq
38,Bestial Sling
39,???????
40,Beast Claw
41,Gurranq Beast Claw
42,Death Lightning Ancient Dragons' Lightning Strike
43,???????
44,Ancient Dragons Lightning Spear
45,Lansseax Glaive
46,The Flame Of Frenzy Partial
47,The Flame Of Frenzy Partial
48,Radagon Rings Of Light
49,Immutable Shield
50,Agheel Flame Borealis Mist Ekzyke Decay Smarag Glintstone Breath
51,Placidusax Ruin
52,Dragonclaw
53,???????
54,Dragonmaw
55,Greyoll Roar
56,Shatter Earth
57,Rock Blaster
58,Crystal Release
59,Electrify Armament Vyke Dragonbolt
60,Dragonbolt Blessing
61,???????
62,The Flame Of Frenzy Partial
63,???????
64,The Flame Of Frenzy Partial
65,???????
66,The Flame Of Frenzy
67,Dragonfire Dragonice Rotten Breath Glintstone Breath
68,???????
69,???????
70,Aspects Of The Crucible
71,Aspects Of The Crucible
72,???????
73,???????
74,Pest Threads
75,Oracle Bubbles
76,Greater Oracle Bubble
77,???????
78,Gavel Of Haima
79,Swift Glintstone Shard Night Shard
80,Carrian Slicer
81,Brian Of Sin
82,Briar Of Punishment
83,Ambush Shard
84,Carian Retaliation
85,???????
86,Law Of Regression Law Of Causality Order Healing
87,Litany Of Proper Death
88,Unendurable Frenzy
89,Frenzied Burst
90,Howl Of Shabriri
91,Elden Stars
92,Cannon Of Haima
93,Bloodboon
94,Bloodflame Talons
95,Greatblade Phalanx Rykard Rancor
96,???????
97,The Flame Of Frenzy Partial
98,Fortissax Lightning Spear
99,Black Flame Ritual
100,Aspects Of The Crucible:Breath
101,???????
102,Gelmir Fury
103,Rancorcall Ancient Death Rancor
104,Order Blade
105,Noble Presence
106,Catch Flame
107,Stars Of Ruin Magic Downpour
108,Comet Rock Sling
109,Unseen Form
110,Thop Barrier
111,Lightning Strike Honed Bolt
112,Bloodflame Blade Poison Armament
113,Crystal Burst Freezing Mist Shattering Crystal Fia Mist Night Maiden Mist
114,Assassin Approach
115,Explosive Ghostflame
116,Black Blade
117,Magma Shot Roiling Magma
118,Magic Glintblade
119,Frozen Lightning Spear
120,Gravity Well Collapsing Stars
121,Tibia Summons
122,Scarlet Aeonia
123,Magma Breath Theodorix Magma
124,Founding Rain Of Stars
255,None
