,Internal Name,Official Name,Included in NT?,Other Notes,説明 (日本語-japanese),描述 (中文-chinese),Описание (русский-russian),Beschreibung (deutsch-german),La description (français-french),Опис (українська-ukrainian),설명 (한국어-korean)
0,N/A,,N/A,Player Character,,,,,,,
100,N/A,,N/A,Dummy,,,,,,,
110,N/A,,N/A,Dummy,,,,,,,
1000,N/A,,N/A,Dummy,,,,,,,
2010,WolfHeadWarrior,,No,,,,,,,,
2030,ProlificRenala,,No,,,,,,,,
2031,ProlificRenala,,No,Variant/Second form?,,,,,,,
2040,RenalaChildren,,No,,,,,,,,
2041,RottenLarva,,No,,,,,,,,
2100,BlackSword,Black Knives,No,Boss name appears in FMG,,,,,,,
2110,BlackSwordMariques,,No,,,,,,,,
2120,Malenia Blade of Miquella,,No,,,,,,,,
2130,Morgott,Margit the Fell Omen,Yes,,,,,,,,
2140,ShunnedChild,,No,,,,,,,,
2150,Wisp,,No,,,,,,,,
2180,MaricaOfDaughter,Melina,Yes,,,,,,,,
2190,MaricaOfDistorted,,No,,,,,,,,
2200,NebulaDragon,,No,,,,,,,,
2270,CrabBig,,Yes,,,,,,,,
2271,CrabMini,,Yes,,,,,,,,
2500,RuneKnights,Crucible Knight Floh,Yes,Unused in NT,,,,,,,
3000,LossRaceSoldier,,Yes,Stormveil lesser guards,,,,,,,
3010,LostKnight,,No,,,,,,,,
3020,LossRaceSoldierLarge,,Yes,Stormveil greater guards,,,,,,,
3050,OldGeneral,,No,,,,,,,,
3060,DosouSkeleton,,No,,,,,,,,
3070,EaterAnOldWoman,,No,,,,,,,,
3080,InsectGolem,,Yes,,,,,,,,
3100,hagetakakishi,,No,hagetaka kishi = vulture,,,,,,,
3150,RuneHunterKnight,,Yes,,,,,,,,
3160,RuneHunterKnightHorse,,Yes,,,,,,,,
3170,WolfRider,,No,,,,,,,,
3180,WolfRiderWolf,,No,,,,,,,,
3181,RuneWolf,,No,,,,,,,,
3200,RedEyeGypsy,,Yes,,,,,,,,
3210,RedEyeGypsyDonkey,,Yes,,,,,,,,
3250,TreeGuardVariant,,No,,,,,,,,
3251,TreeGuardHead,Tree Sentinel,Yes,,,,,,,,
3252,TreeGuardMagic,,No,,,,,,,,
3300,MarikaLineageMan,,No,,,,,,,,
3310,MarikaLineageWoman,,No,,,,,,,,
3320,MarikaLineageSlime,,No,,,,,,,,
3330,MotherSlime,,No,,,,,,,,
3350,CrystalTribe,,No,,,,,,,,
3360,AncestorBeliever,,No,,,,,,,,
3370,AncestorBelieverFemale,,No,,,,,,,,
3400,GladiatorLarge,Grave Warden,Yes,,,,,,,,
3450,ChimeraJsBasetype,,Yes,No chrbnd,,,,,,,
3451,ChimeraJsScaletype,,Yes,,,,,,,,
3460,ChimeraJsLeotype,,No,,,,,,,,
3470,FrogHuman,,No,,,,,,,,
3500,DosouSkeleton,,Yes,,,,,,,,
3510,Skeleton,,Yes,,,,,,,,
3550,DaemonBloodLaity,,No,,,,,,,,
3560,GodSkinFatherSlim,,No,,,,,,,,
3570,GodSkinFatherFat,,No,,,,,,,,
