ID,English,Japanese,Chinese,German,Spanish,Russian,Arabic,Korean
2000300,Hefty Fire Pot,大火炎壺,大火焰壶,Schwerer Feuertopf,Recipiente de fuego pesado,Большой огненный горшок,ﻗﺩر اﻟﻧﺎر اﻟﺿﺧﻡ,큰 화염 항아리
2000310,Hefty Rock Pot,大岩石壺,大岩石壶,Schwerer Steintopf,Recipiente de roca pesado,Большой горшок с камнями,ﻗﺩر اﻟﺻﺧﺭ اﻟﺿﺧﻡ,큰 암석 항아리
2000320,Hefty Lightning Pot,大雷壺,大雷电壶,Schwerer Blitztopf,Recipiente de rayo pesado,Большой горшок с молнией,ﻗﺩر اﻟﺑﺭق اﻟﺿﺧﻡ,큰 벼락 항아리
2000330,Hefty Fetid Pot,大糞壺,大粪便壶,Schwerer Stinktopf,Recipiente fétido pesado,Большой зловонный горшок,اﻟﻘﺩر اﻟﻧﺗﻥ اﻟﺿﺧﻡ,큰 대변 항아리
2000340,Hefty Fly Pot,大蠅壺,大苍蝇壶,Schwerer Schwarmtopf,Recipiente de moscas pesado,Большой мушиный горшок,ﻗﺩر اﻟﺫﺑﺎب اﻟﺿﺧﻡ,큰 파리 항아리
2000360,Hefty Freezing Pot,大氷結壺,大结冰壶,Schwerer Frosttopf,Recipiente de congelación pesado,Большой ледяной горшок,اﻟﻘﺩر اﻟﻣﺟﻣَﺩ اﻟﺿﺧﻡ,큰 빙결 항아리
2000370,Hefty Poison Pot,大毒壺,大毒壶,Schwerer Gifttopf,Recipiente de veneno pesado,Большой горшок яда,ﻗﺩر اﻟﺳﻡ اﻟﺿﺧﻡ,큰 독 항아리
2000380,Hefty Oil Pot,大油壷,大油壶,Schwerer Öltopf,Recipiente de aceite pesado,Большой горшок масла,ﻗﺩر اﻟﺯﻳﺕ اﻟﺿﺧﻡ,큰 기름 항아리
2000600,Hefty Volcano Pot,大火山壺,大火山壶,Schwerer Vulkantopf,Recipiente volcánico pesado,Большой вулканический горшок,ﻗﺩر اﻟﺑﺭﻛﺎن اﻟﺿﺧﻡ,큰 화산 항아리
2000620,Hefty Frenzied Flame Pot,大狂い火壺,大癫火壶,Schwerer Topf der rasenden Flamme,Recipiente de llama frenética pesado,Большой горшок Яростного Пламени,ﻗﺩر اﻟﻠﻬﺏ اﻟﻣﺳﺗﻌﺭ اﻟﺿﺧﻡ,큰 미친 불 항아리
2000650,Hefty Rancor Pot,大怨霊壺,大怨魂壶,Schwerer Grolltopf,Recipiente de rencor pesado,Большой горшок озлобленности,ﻗﺩر اﻟﺣﻘﺩ اﻟﺿﺧﻡ,큰 원혼 항아리
2000660,Hefty Magic Pot,大魔力壺,大魔力壶,Schwerer Magietopf,Recipiente mágico pesado,Большой магический горшок,ﻗﺩر اﻟﺳﺣﺭ اﻟﺿﺧﻡ,큰 마력 항아리
2000670,Hefty Rot Pot,大腐敗壺,大腐败壶,Schwerer Fäulnistopf,Recipiente de podredumbre pesado,Большой горшок гниения,ﻗﺩر اﻟﻌﻔﻥ اﻟﺿﺧﻡ,큰 부패 항아리
2000680,Hefty Furnace Pot,大焼炉壺,大燃炉壶,Schwerer Ofentopf,Recipiente pesado del horno,Большой горшок из печи,ﻗﺩر اﻟﻣﺻﻬﺭ اﻟﻌﻣﻼق,큰 소각로 항아리
2000690,Hefty Red Lightning Pot,大赤雷壺,大红雷壶,Schwerer roter Blitztopf,Recipiente de rayo rojo pesado,Большой горшок красной молнии,ﻗﺩر اﻟﺑﺭق اﻷﺣﻣﺭ اﻟﺿﺧﻡ,큰 붉은 벼락 항아리
2000700,Red Lightning Pot,赤雷壺,红雷壶,Roter Blitztopf,Recipiente de rayo rojo,Горшок красной молнии,ﻗﺩر اﻟﺑﺭق اﻷﺣﻣﺭ,붉은 벼락 항아리
2000710,Frenzied Flame Pot,狂い火壺,癫火壶,Topf der rasenden Flamme,Recipiente de llama frenética,Горшок Яростного Пламени,ﻗﺩر اﻟﻠﻬﺏ اﻟﻣﺳﺗﻌﺭ,미친 불 항아리
2000740,Eternal Sleep Pot,永眠壺,永眠壶,Ewiger Schlaftopf,Recipiente de sueño eterno,Горшок вечного сна,ﻗﺩر اﻟﻧﻭم اﻷﺑﺩي,영면 항아리
2000760,Roped Frenzied Flame Pot,紐付き狂い火壺,附绳癫火壶,Topf der rasenden Flamme mit Kordel,Recipiente de llama frenética con cuerda,Горшок Яростного Пламени с верёвкой,ﻗﺩر اﻟﺑﺭق اﻟﻣﺭﺑﻭط ﺑﺣﺑﻝ,끈 달린 미친 불 항아리
2000800,Spirit Raisin,スピリット・レーズン,灵力果干,Geisterrosine,Pasa espiritual,Духовный изюм,زﺑﻳﺏ اﻷرواح,스피릿 레이즌
2000900,Blessing of Marika,マリカの祝福,玛莉卡的赐福,Segen von Marika,Bendición de Márida,Благословение Марики,ﻣﺑﺎرﻛﺔ ﻣﺎرﻳﻛﺎ,마리카의 축복
2000910,Lulling Branch,微睡の枝,半梦树枝,Einlullender Ast,Rama arrulladora,Усыпляющая ветвь,اﻟﻔﺭع اﻟﻣﻬﺩئ,선잠의 가지
2001100,Dragon Communion Flesh,竜餐の肉塊,龙飨肉块,Fleisch der Drachenkommunion,Carne de la Comunión del Dragón,Плоть для драконьего причастия,ﻟﺣﻡ ﻗﺭﺑﺎن اﻟﺗﻧﻳﻥ,용찬의 고기 덩어리
2001105,Dragonscale Flesh,逆鱗の肉塊,逆鳞肉块,Drachenschuppenfleisch,Carne de escamas de dragón,Плоть с драконьей чешуи,ﻟﺣﻡ ﺣﺭاﺷﻑ اﻟﺗﻧﻳﻥ,역린의 고기 덩어리
2001110,Fingerprint Nostrum,指紋の秘薬,指纹秘药,Fingerabdruckpräparat,Panacea de huellas digitales,Пальцевое снадобье,دواء ﺑﺻﻣﺔ اﻹﺻﺑﻊ,지문의 비약
2001120,Spellproof Pickled Liver,抗魔の肝漬け,抗魔腌制肝,Zaubersichere eingelegte Leber,Hígado encurtido a prueba de hechizos,Чаростойкая маринованная печень,اﻟﻛﺑﺩ اﻟﻣﺧﻠﻠﺔ اﻟﻣﻘﺎوﻣﺔ ﻟﻠﺳﺣﺭ,항마의 간 절임
2001130,Fireproof Pickled Liver,抗炎の肝漬け,抗火腌制肝,Feuersichere eingelegte Leber,Hígado encurtido a prueba de fuego,Огнестойкая маринованная печень,اﻟﻛﺑﺩ اﻟﻣﺧﻠﻠﺔ اﻟﻣﻘﺎوﻣﺔ ﻟﻠﻧﺎر,항염의 간 절임
2001140,Lightningproof Pickled Liver,抗雷の肝漬け,抗雷腌制肝,Blitzsichere eingelegte Leber,Hígado encurtido a prueba de rayos,Молниестойкая маринованная печень,اﻟﻛﺑﺩ اﻟﻣﺧﻠﻠﺔ اﻟﻣﻘﺎوﻣﺔ ﻟﻠﺑﺭق,항뢰의 간 절임
2001150,Holyproof Pickled Liver,抗聖の肝漬け,抗圣腌制肝,Heiligsichere eingelegte Leber,Hígado encurtido a prueba de santidad,Святостойкая маринованная печень,اﻟﻛﺑﺩ اﻟﻣﺧﻠﻠﺔ اﻟﻣﻘﺎوﻣﺔ ﻟﻠﺗﻘﺩﻳﺱ,항성의 간 절임
2001160,Opaline Pickled Liver,真珠色の肝漬け,珍珠腌制肝,Opale eingelegte Leber,Hígado encurtido opalino,Маринованная опаловая печень,اﻟﻛﺑﺩ اﻟﻣﻧﻘﻭﻋﺔ اﻟﻣﺗﻸﻟﺋﺔ,진주색의 간 절임
2001170,Well-Pickled Turtle Neck,亀首の古漬け,腌制老龟颈肉,Gut eingelegter Schildkrötenhals,Cuello de tortuga bien encurtido,Замаринованная шея черепахи,ﻋﻧﻖ اﻟﺳﻠﺣﻔﺎة اﻟﻣﻧﻘﻭع ﻛﻠﻳًﺎ,거북 목 묵은 절임
2001200,Scorpion Stew,サソリ煮込み,炖煮蝎子,Skorpionseintopf,Estofado de escorpión,Похлёбка из скорпиона,ﺣﺳﺎء اﻟﻌﻘﺭب,전갈조림
2001201,Gourmet Scorpion Stew,贅沢なサソリ煮込み,豪华炖煮蝎子,Gourmet-Skorpionseintopf,Estofado de escorpión gourmet,Изысканная похлёбка из скорпиона,ﺣﺳﺎء اﻟﻌﻘﺭب اﻟﻔﺎﺧﺭ,호화로운 전갈조림
2001202,Scorpion Stew,サソリ煮込み,炖煮蝎子,Skorpionseintopf,Estofado de escorpión,Похлёбка из скорпиона,ﺣﺳﺎء اﻟﻌﻘﺭب,전갈조림
2001203,Gourmet Scorpion Stew,贅沢なサソリ煮込み,豪华炖煮蝎子,Gourmet-Skorpionseintopf,Estofado de escorpión gourmet,Изысканная похлёбка из скорпиона,ﺣﺳﺎء اﻟﻌﻘﺭب اﻟﻔﺎﺧﺭ,호화로운 전갈조림
2001210,Sacred Bloody Flesh,聖なる血肉,神圣血肉,Heiliges blutiges Fleisch,Carne sangrienta sagrada,Священная кровавая плоть,اﻟﻠﺣﻡ اﻟﺩﻣﻭي اﻟﻣﻘﺩس,성스러운 피와 살
2001220,Silver Horn Tender,白銀の角貨,白银角币,Silbernes Horn,Cuerno blando plateado,Серебряный рог,اﻟﻘﺭن اﻟﻔﺿﻲ اﻟﻁﺭي,백은 뿔 화폐
2001230,Golden Horn Tender,黄金の角貨,黄金角币,Goldenes Horn,Cuerno blando dorado,Золотой рог,اﻟﻘﺭن اﻟﺫﻫﺑﻲ اﻟﻁﺭي,황금 뿔 화폐
2001400,Messmerfire Grease,メスメルの火脂,梅瑟莫火油脂,Messmerfeuerfett,Grasa de fuego de Messmer,Огненная смазка Мессмера,ﺷﺣﻡ ﻧﺎر ﻣﻳﺳﻣﺭ,메스메르의 불기름
2001410,Dragonbolt Grease,竜雷脂,龙雷油脂,Drachenblitzfett,Grasa de rayo de dragón,Смазка драконьего грома,ﺷﺣﻡ ﺻﺎﻋﻘﺔ اﻟﺗﻧﻳﻥ,용뢰기름
2001420,Royal Magic Grease,王家の魔力脂,王室魔力油脂,Königliches Magiefett,Grasa mágica real,Королевская магическая смазка,ﺷﺣﻡ اﻟﺳﺣﺭ اﻟﻣﻠﻛﻲ,왕가의 마력기름
2001430,Golden Grease,黄金脂,黄金油脂,Goldfett,Grasa dorada,Золотая смазка,اﻟﺷﺣﻡ اﻟﺫﻫﺑﻲ,황금기름
2001450,Eternal Sleep Grease,永眠脂,永眠油脂,Ewiges Schlaffett,Grasa de sueño eterno,Смазка вечного сна,ﺷﺣﻡ اﻟﻧﻭم اﻷﺑﺩي,영면기름
2001480,Dragon Communion Grease,竜餐脂,龙飨油脂,Fett der Drachenkommunion,Grasa de la Comunión del Dragón,Смазка драконьего причастия,ﺷﺣﻡ ﻗﺭﺑﺎن اﻟﺗﻧﻳﻥ,용찬기름
