Param ID,English,Chinese,German,Arabic
50700000,Death Knight,,,
50700081,Death Knight,,,
50701000, Death Knight 2,,,
50701095,Death Knight 2,,,
52100000,Dancing Lion,,,
52100088,Dancing Lion,,,
53000000,"Renalla, Twin Moon Knight",,,
53000082,"Renalla, Twin Moon Knight",,,
50300000,"Romina, Saint of the Bud",,,
50300094,"Romina, Saint of the Bud",,,
50200000,Putrescent Knight,,,
50200087,Putrescent Knight,,,
52200000,Consort Radahn,,,
52200089,Consort Radahn,,,
52201000,Consort Radahn,,,
52201089,Consort Radahn,,,
52202000,Consort Radahn,,,
51300000,Messmer the Impaler,,,
51300099,Messmer the Impaler,,,
51301000,Messmer the Impaler,,,
51301099,Messmer the Impaler,,,
51400000,Messmer's Snake,,,
51400099,Messmer's Snake,,,
50510000,"Midra, Lord of Frenzied Flame",,,
50510086,"Midra, Lord of Frenzied Flame",,,
52000000,"Metyr, Mother of Fingers",,,
52000097,"Metyr, Mother of Fingers",,,
51200000,Bayle the Dread,,,
51200085,Bayle the Dread,,,
50100000,Golden Hippopotamus,,,
50100098,Golden Hippopotamus,,,
50110000,Hippopotamus,,,
50110091,Hippopotamus,,,
58200000,Ralva the Great Red Bear,,,
58200900,Ralva the Great Red Bear,,,
58200990,Ralva the Great Red Bear,,,
50000000,Commander Gaius,,,
50000092,Commander Gaius,,,
52300000,Scadutree Avatar,,,
52300096,Scadutree Avatar,,,
52300200,Scadutree Avatar,,,
52300296,Scadutree Avatar,,,
52300300,Scadutree Avatar,,,
52300396,Scadutree Avatar,,,
62510000,Tree Sentinel - DLC,,,
62510093,Tree Sentinel - DLC,,,
62511000,Tree Sentinel - DLC,,,
62511093,Tree Sentinel - DLC,,,
51900000,Spider Scorpion,,,
51900088,Spider Scorpion,,,
51900095,Spider Scorpion,,,
51901000,Spider Scorpion,,,
51901095,Spider Scorpion,,,
51930000,Spider Scorpion - Small,,,
51930088,Spider Scorpion - Small,,,
55510000,Fingercreeper Boss,,,
55510093,Fingercreeper Boss,,,
