ID,DESCRIPTION
0,Def - None
1,State 52|Pledge Effect Test|
2,
3,
4,Beh Npc 7|Tarnisheds Furled Finger Create Summon Sign|
5,
6,Beh Npc 12
7,Beh Npc 13 Finger Severer Return To World|
8,Beh Npc 101
9,Beh Npc 102
10,
11,
12,
13,
14,
15,
16,
17,
18,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
35,
36,
37,
38,
39,
40,
41,
46,
50,
51,
52,
53,
54,
55,
60,
70,
71,
72,
73,
74,
79,
80,
81,
84,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,Grace Heal Hp|
101,Grace Remove|All Status|
102,Grace Remove|Blood|
103,Grace Remove|Poison|
104,Grace Remove|Scarlet Rot|
105,Grace Remove|Frost|
106,Grace Reload|
107,Grace Remove|Madness|
108,Grace Remove|Sleep|
109,Grace Remove|Blight|
110,
111,
112,
113,
114,
115,
116,
117,Remove|Madness|
118,Remove|Sleep|
119,
120,
125,Torrent|
126,Torrent|
127,
128,
129,
130,
131,Hks c0000|Ride Atk Move Cancel|
132,Hks c0000|Recovery Window|Heavy Attack|
133,Hks c0000|Switch Heavy To|Heavy Sub|
134,Hks c0000|Switch Heavy Sub|To Heavy|
135,Hks c0000|Light Sub Start|Type 0|
136,Hks c0000|Light Sub Start|Type 1|
137,Hks c0000|Light Sub Start|Type 2|
138,Hks c0000|Light Sub Start|Type 3|
140,Hks c0000|Player Jump|
141,Hks c0000|Land Lightest Swingpose 0|
142,Hks c0000|Land Light Swingpose 1|
143,Hks c0000|Land Medium Swingpose 2|
144,Hks c0000|Land Heavy Swingpose 3|
145,Hks c0000|Land Heavyiest Swingpose 4|
146,Hks c0000|Swing Window|
147,Not Hks|Player Kick|
150,Hks c0000|Jumping Off Ladder|
151,
152,
160,
161,
170,Hks c0000|Guard End = True|
171,Hks c0000|Triggers On Backstep While Guarding|Get Guard Lvl Dam 3|
172,Hks c0000|Variable Guard Start Type 0 Or 1|
173,Hks c0000|Guard Counter|End|
174,Hks c0000|Guard Counter|Window|
175,Hks c0000|Parry Motion|
176,Hks c0000|Guard Level Action|
180,Go full invis
181,Hks c0000|Exe_Ride_Off / Enable_Force_Ride_Off|
182,Hks c0000|
183,Hks c0000|Spiritspring|In Range|
184,Hks c0000|Spirit Spring|Fall Immune (Torrent)|
185,Hks c0000|Spiritspring|Fall Immune|
186,Hks c0000|Spiritspring|Is Jumping|
190,State 433|
191,
200,
201,Beh Npc 201|
202,Beh Npc 202|Trigger When I Use Grace|
210,Plan_Sp_Effect_Buddy_Order_Go|
211,Beh Npc 211|Plan_Sp_Effect_Buddy_Order_Come|
212,Beh Npc 212|Plan_Sp_Effect_Buddy_Order_Unsummon|
220,Plan_Sp_Effect_Buddy_Order_Trigger|
290,
300,State 50| Restore |100% Hp|100% Fp|100% Sp|
301,State 13| Remove |All Status Inflictions|
302,State 6| Remove Blood |Inflict Blood -99999|
303,State 5| Remove Scarlet Rot |Inflict Scarlet Rot -99999|
304,State 2| Remove Poison |Inflict Poison -99999|
305,
306,
307,
308,
309,
310,
311,Beh Npc 311|
312,Beh Npc 312|
313,
314,
315,
316,
317,
318,
319,
350,
351,
352,
360,
361,
362,
370,
371,
372,
373,
380,
381,
382,
390,Has 392 In Next Sp Effect|
391,
392,Vfx 60000 5 Sec Dur|
401,Worm Recovery Torch 1/2|
402,Worm Recovery Torch 2/2 |State 262|
403,
404,Vfx Id|5000|
407,Cast Light|State 147|
412,Vfx Id|5001has Priority 1 And I Think It Goes With Effect Id 407|
415,Torch Effect|
416,Sentrys Torch Effect|
417,
420,Oil Pot|
425,Weight_Overweight|
430,Chariot|State 324|
435,
436,
437,
438,
440,
441,
442,
445,
450,Red ripples coming from face
451,Blue ripples coming from face
455,Disables all movement (only works on motioninterval 0)
460,Beast|Repellent Torch Effect|
461,
462,
463,
467,Swarm Potcycle|
468,
469,
470,Gravity Pull Towards Caster|
471,
472,
473,Swarm Pot|
474,Hks c9997|Heal Hp Regen|
475,Blessing Of The Erdtree Hp Regen|
480,
481,Shadow Bait|
482,Alluring Pot|
483,Alluring Pot|
484,Beastlure Pot Effect|
485,
486,
487,
490,Rune Arc|
491,Rune Arc|
499,Rune Arc|
500,Blood Cycle |State 467|
501,Blood Presence Of Blood|
502,",|"
503,",|"
505,Poison/Scarlet Rotcycle|State 275|
506,Poison/Scarlet Rot Presence Of Rot|State 380|
507,",|"
508,",|"
510,State 188|
511,Online Check Reset Event Flag 2100|State 330|
512,State 189|
513,Vfx Id|95900000|
514,State 418|
