ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
12,need english name,馬呼び,,,,,,
13,need english name,槍召喚,,,,,,
14,need english name,弓召喚,,,,,,
15,need english name,盾召喚,,,,,,
16,need english name,ユニーク召喚,,,,,,
20,need english name,行け,,,,,,
21,need english name,雷撃,,,,,,
22,need english name,スリープクラウド,,,,,,
23,need english name,ソウルの矢,,,,,,
24,need english name,強いソウルの矢,,,,,,
25,need english name,追尾するソウルの塊,,,,,,
26,need english name,ソウルの槍,,,,,,
27,need english name,照らす光,,,,,,
28,need english name,音送り,,,,,,
29,need english name,降り注ぐ結晶,,,,,,
30,need english name,ソウルの大剣,,,,,,
31,need english name,ターンアンデッド,,,,,,
35,need english name,竜魔法_防護,,,,,,
40,need english name,【テスト】エリクサー,,,,,,
41,need english name,【テスト】エリクサー（空）,,,,,,
42,need english name,【テスト】エリクサー素材1,,,,,,
43,need english name,【テスト】エリクサー素材2,,,,,,
44,need english name,【テスト】エリクサー素材3,,,,,,
60,need english name,システム ID監視用アイテム1,,,,,,
61,need english name,システム ID監視用アイテム2,,,,,,
62,need english name,システム ID監視用アイテム3,,,,,,
63,need english name,システム ID監視用アイテム4,,,,,,
64,need english name,システム ID監視用アイテム5,,,,,,
65,need english name,システム ID監視用アイテム6,,,,,,
66,need english name,システム ID監視用アイテム7,,,,,,
67,need english name,システム ID監視用アイテム8,,,,,,
68,need english name,システム ID監視用アイテム9,,,,,,
69,need english name,システム ID監視用アイテム10,,,,,,
94,need english name,血文字作成時のPCアニメ再生用ダミー,,,,,,
98,need english name,まとめて使用チェック用 消えかけのソウル,,,,,,
99,need english name,自動補充チェック用 緑花草,,,,,,
100,Tarnished's Furled Finger,褪せ人の鉤指,褪色者勾指,Зігнутий палець згаслого,,Скрюченный палец Погасшего,,
101,Duelist's Furled Finger,闘士の鉤指,斗士勾指,Зігнутий палець дуелянта,,Скрюченный палец дуэлянта,,
102,Bloody Finger,血の指,血指,Кривавий палець,,Окровавленный палец,,
103,Finger Severer,指切り,断指刀,Відтинач пальців,,Отсекатель пальцев,,
104,White Cipher Ring,白い秘文字の指環,白秘文戒指,Білий тайнописний перстень,,Белое кольцо с тайнописью,,
105,Blue Cipher Ring,青い秘文字の指環,蓝秘文戒指,Синій тайнописний перстень,,Синее кольцо с тайнописью,,
106,Tarnished's Wizened Finger,褪せ人の老指,褪色者老指,Висохлий палець згаслого,,Иссохший палец Погасшего,,
107,Phantom Bloody Finger,血指の幻影,血指幻影,Кривавий палець фантома,,Окровавленный палец фантома,,
108,Taunter's Tongue,嘲弄者の舌,嘲弄者舌头,Язик насмішника,,Язык насмешника,,
109,Small Golden Effigy,金の小偶像,金色小雕像,Золота статуетка,,Маленькая золотая фигурка,,
110,Small Red Effigy,赤の小偶像,红色小雕像,Червона статуетка,,Маленькая красная фигурка,,
111,Festering Bloody Finger,爛れた血指,溃烂血指,Загноєний кривавий палець,,Гнилой окровавленный палец,,
112,Recusant Finger,背律の指,叛律指头,Палець відступника,,Мятежный палец,,
113,Phantom Bloody Finger,血指の幻影,血指幻影,Кривавий палець фантома,,Окровавленный палец фантома,,
114,Phantom Recusant Finger,背律指の幻影,叛律指幻影,Палець фантома-відступника,,Мятежный палец-фантом,,
115,Memory of Grace,祝福の記憶,赐福记忆,Спогад про благодать,,Воспоминание о благодати,,
130,Spectral Steed Whistle,霊馬の指笛,灵马哨笛,Свисток примарного скакуна,,Костяной свисток,,
135,Phantom Great Rune,大ルーンの幻影,大卢恩幻影,Фантомна Велика руна,,Призрачная великая руна,,
150,Furlcalling Finger Remedy,鉤呼びの指薬,唤勾指药,Панацея для пальців,,Зелье Призывающего пальца,,
170,Tarnished's Furled Finger,褪せ人の鉤指,褪色者勾指,Зігнутий палець згаслого,,Скрюченный палец Погасшего,,
171,Duelist's Furled Finger,闘士の鉤指,斗士勾指,Зігнутий палець дуелянта,,Скрюченный палец дуэлянта,,
172,Bloody Finger,血の指,血指,Кривавий палець,,Окровавленный палец,,
174,White Cipher Ring,白い秘文字の指環,白秘文戒指,Білий тайнописний перстень,,Белое кольцо с тайнописью,,
175,Blue Cipher Ring,青い秘文字の指環,蓝秘文戒指,Синій тайнописний перстень,,Синее кольцо с тайнописью,,
178,Taunter's Tongue,嘲弄者の舌,嘲弄者舌头,Язик насмішника,,Язык насмешника,,
179,Small Golden Effigy,金の小偶像,金色小雕像,Золота статуетка,,Маленькая золотая фигурка,,
180,Small Red Effigy,赤の小偶像,红色小雕像,Червона статуетка,,Маленькая красная фигурка,,
181,Spectral Steed Whistle,霊馬の指笛,灵马哨笛,Свисток примарного скакуна,,Костяной свисток,,
182,Furlcalling Finger Remedy,鉤呼びの指薬,唤勾指药,Панацея для пальців,,Зелье Призывающего пальца,,
183,Festering Bloody Finger,爛れた血指,溃烂血指,Загноєний кривавий палець,,Гнилой окровавленный палец,,
184,Recusant Finger,背律の指,叛律指头,Палець відступника,,Мятежный палец,,
190,Rune Arc,ルーンの弧,卢恩弯弧,Рунічна дуга,,Руническая дуга,,
191,Godrick's Great Rune,ゴドリックの大ルーン,葛瑞克的大卢恩,Велика руна Ґодріка,,Великая руна Годрика,,
192,Radahn's Great Rune,ラダーンの大ルーン,拉塔恩的大卢恩,Велика руна Радана,,Великая руна Радана,,
