ID,NAME,REGION,Name (українська-ukrainian),Регіон (українська-ukrainian),Cheat Engine Dropdown 1,Cheat Engine Dropdown 2,説明 (日本語-japanese),描述 (中文-chinese),Описание (русский-russian),Beschreibung (deutsch-german),La description (français-french),Опис (українська-ukrainian),설명 (한국어-korean)
10002950,Godrick the Grafted,Stormveil Castle,,Замок Штормової завіси,10002950:Godrick the Grafted (Stromveil Castle),10002950:Stromveil Castle - Godrick the Grafted,,,,,,,
10002951,"Margit, the Fell Omen",Stormhill,"Марґіт, Занепалий передвісник",Штормовий пагорб,"10002951:Margit, the Fell Omen (Stormhill)","10002951:Stormhill - Margit, the Fell Omen",,,,,,,
10002952,Castleward Tunnel,Stormhill,Тунель до замку,Штормовий пагорб,10002952:Castleward Tunnel (Stormhill),10002952:Stormhill - Castleward Tunnel,,,,,,,
10002953,Gateside Chamber,Stormhill,Кімната біля воріт,Замок Штормової завіси,10002953:Gateside Chamber (Stromveil Castle),10002953:Stromveil Castle - Gateside Chamber,,,,,,,
10002954,Stormveil Cliffside,Stormveil Castle,Скеля Штормової завіси,Замок Штормової завіси,10002954:Stormveil Cliffside (Stromveil Castle),10002954:Stromveil Castle - Stormveil Cliffside,,,,,,,
10002955,Rampart Tower,Stormveil Castle,Башта,Замок Штормової завіси,10002955:Rampart Tower (Stromveil Castle),10002955:Stromveil Castle - Rampart Tower,,,,,,,
10002956,Liftside Chamber,Stormveil Castle,Кімната біля підйомника,Замок Штормової завіси,10002956:Liftside Chamber (Stromveil Castle),10002956:Stromveil Castle - Liftside Chamber,,,,,,,
10002957,Secluded Cell,Stormveil Castle,Ізольована камера,Замок Штормової завіси,10002957:Secluded Cell (Stromveil Castle),10002957:Stromveil Castle - Secluded Cell,,,,,,,
10002958,Stormveil Main Gate,Stormveil Castle,Головні ворота Штормової завіси,Замок Штормової завіси,10002958:Stormveil Main Gate (Stromveil Castle),10002958:Stromveil Castle - Stormveil Main Gate,,,,,,,
10012020,Chapel of Anticipation (New Game),?,Каплиця очікування (нова гра),,10012020:Chapel of Anticipation (New Game) (?),10012020:? - Chapel of Anticipation (New Game),,,,,,,
11052950,Elden Throne,"Leyndell, Ashen Capital",Трон Елдена,"Лейнделл, столиця попелу","11052950:Elden Throne (Leyndell, Ashen Capital)","11052950:Leyndell, Ashen Capital - Elden Throne",,,,,,,
11052951,Erdtree Sanctuary,"Leyndell, Ashen Capital",Святилище Золотого дерева,"Лейнделл, столиця попелу","11052951:Erdtree Sanctuary (Leyndell, Ashen Capital)","11052951:Leyndell, Ashen Capital - Erdtree Sanctuary",,,,,,,
11052952,East Capital Rampart,"Leyndell, Ashen Capital",Східний мур столиці,"Лейнделл, столиця попелу","11052952:East Capital Rampart (Leyndell, Ashen Capital)","11052952:Leyndell, Ashen Capital - East Capital Rampart",,,,,,,
11052953,"Leyendell, Capital of Ash","Leyndell, Ashen Capital","Лейнделл, столиця попелу","Лейнделл, столиця попелу","11052953:Leyendell, Capital of Ash (Leyndell, Ashen Capital)","11052953:Leyndell, Ashen Capital - Leyendell, Capital of Ash",,,,,,,
11052954,Queen's Bedchamber,"Leyndell, Ashen Capital",Спочивальня королеви,"Лейнделл, столиця попелу","11052954:Queen's Bedchamber (Leyndell, Ashen Capital)","11052954:Leyndell, Ashen Capital - Queen's Bedchamber",,,,,,,
11052955,Divine Bridge,"Leyndell, Ashen Capital",Божественний міст,"Лейнделл, столиця попелу","11052955:Divine Bridge (Leyndell, Ashen Capital)","11052955:Leyndell, Ashen Capital - Divine Bridge",,,,,,,
