ID,Spirit Summon
200000,Black Knife Tiche
200001,Black Knife Tiche
201000,Banished Knight Oleg
201001,Banished Knight Oleg
202000,Banished Knight Engvall
202001,Banished Knight Engvall
20300000,Fanged Imp Ashes
20300001,Fanged Imp Ashes
20500000,Nomad Ashes
20700000,Mimic Tear Ashes
20700001,Mimic Tear Ashes
20800000,Crystalian Ashes
20900000,Ancestral Follower Ashes
21000000,Winged Misbegotten Ashes
22100000,Winged Misbegotten Ashes
21100000,Albinauric Ashes
21100001,Albinauric Ashes
21200000,Skeletal Militiaman Ashes
21200001,Skeletal Militiaman Ashes
21300000,Skeletal Bandit Ashes
21400000,Oracle Envoy Ashes
21400001,Oracle Envoy Ashes
21400002,Oracle Envoy Ashes
21400003,Oracle Envoy Ashes
21500000,Putrid Corpse Ashes
21500001,Putrid Corpse Ashes
21500002,Putrid Corpse Ashes
21500003,Putrid Corpse Ashes
21800000,Glintstone Sorcerer Ashes
21900000,Twinsage Sorcerer Ashes
22000000,Page Ashes
22200000,Page Ashes
22200001,Page Ashes
22200000,Clayman Ashes
22200001,Clayman Ashes
22400000,Kindred of Rot Ashes
22500000,Marionette Soldier Ashes
22500001,Marionette Soldier Ashes
22600000,Avionette Soldier Ashes
22600001,Avionette Soldier Ashes
22700000,Fire Monk Ashes
22900000,Man-Serpent Ashes
22300000,Azula Beastman Ashes
23000000,Azula Beastman Ashes
23000001,Azula Beastman Ashes
23100000,Kaiden Sellsword Ashes
23200000,Lone Wolf Ashes
23200001,Lone Wolf Ashes
23200002,Lone Wolf Ashes
23300000,Giant Rat Ashes
23300001,Giant Rat Ashes
23300002,Giant Rat Ashes
23400000,Demi-Human Ashes
23400001,Demi-Human Ashes
23400002,Demi-Human Ashes
23400003,Demi-Human Ashes
23400004,Demi-Human Ashes
23500000,Rotten Stray Ashes
23600000,Spirit Jellyfish Ashes
23700000,Warhawk Ashes
22400000,Wandering Noble Ashes
24000000,Wandering Noble Ashes
24000001,Wandering Noble Ashes
24000002,Wandering Noble Ashes
24000003,Wandering Noble Ashes
24000004,Wandering Noble Ashes
24100000,Noble Sorcerer Ashes
24200000,Vulgar Militia Ashes
24200001,Vulgar Militia Ashes
24200002,Vulgar Militia Ashes
24300000,Mad Pumpkin Head Ashes
24400000,Land Squirt Ashes
24400001,Land Squirt Ashes
24400002,Land Squirt Ashes
24500000,Miranda Sprout Ashes
24500001,Miranda Sprout Ashes
24500002,Miranda Sprout Ashes
24500003,Miranda Sprout Ashes
24500004,Miranda Sprout Ashes
24600000,Soldjars of Fortune Ashes
24600001,Soldjars of Fortune Ashes
24600002,Soldjars of Fortune Ashes
24800000,Greatshield Soldier Ashes
24800001,Greatshield Soldier Ashes
24800002,Greatshield Soldier Ashes
24800003,Greatshield Soldier Ashes
24800004,Greatshield Soldier Ashes
24900000,Archer Ashes
24900001,Archer Ashes
24900002,Archer Ashes
22500000,Godrick Soldier Ashes
22500001,Godrick Soldier Ashes
25000000,Godrick Soldier Ashes
25000001,Godrick Soldier Ashes
25100000,Raya Lucaria Soldier Ashes
25100001,Raya Lucaria Soldier Ashes
25100002,Raya Lucaria Soldier Ashes
25200000,Leyndell Soldier Ashes
25200001,Leyndell Soldier Ashes
25300000,Radahn Soldier Ashes
25300001,Radahn Soldier Ashes
25400000,Mausoleum Soldier Ashes
25400001,Mausoleum Soldier Ashes
25400002,Mausoleum Soldier Ashes
25400003,Mausoleum Soldier Ashes
25400004,Mausoleum Soldier Ashes
25500000,Haligtree Soldier Ashes
25500001,Haligtree Soldier Ashes
25500002,Haligtree Soldier Ashes
25500003,Haligtree Soldier Ashes
