ID,Name,Description
0,None,
2,Poison,
3,Unknown,
4,Durability Damage,
5,Blight,Scarlet Rot/Prevents jumping
6,Hemorrhage,Blood loss//Prevents jumping
7,Ghost,
8,Enemy Sight Reduction,
9,Tranquil Walk of Peace,
10,Remove Poison,
11,Remove Blight,
12,Remove Hemorrhage,
13,Remove All Status,
14,Humanity Stolen,
15,Telescope,
16,Warp to Grace,
17,Revival,CRASH
18,?Network Message? a bunch then main menu,
19,Dispel Black Phantom,
22,Unknown,
23,OnReviveMagic,?Network Message? a bunch then main menu
24,Disables Spell Usage,
28,Right-hand Buff VFX,
29,Body Buff VFX,
31,Ghost Parameter Change,
32,Middle of Paralysis,Electrocuted stun animation from demon's souls
34,Giant Slime Freezing,
35,Unknown,
36,Unknown,
37,Unknown,
39,Sound Feed,
40,Greater Body Buff VFX,
41,VFX,Flash Sweat
42,HP Recovery,
43,Unknown,
44,Unknown,
45,Unknown,
46,Modify Target Priority,
47,Disable Fall Damage,
48,Increase Damage,
49,Increase Defense,
50,HP/FP/Stamina Recovery,
52,Pledge Effect Test,
54,Modify Enemy Listen Reduction,
55,HostDeath,
58,Point Light Source Equipped,
59,Your Message Was Rated,
60,Magic Buff VFX,
61,Magic Weapon Buff VFX,
62,Fire Weapon Buff VFX,
64,Enchanted Weapon Buff VFX,
65,Unknown,
66,Modify Item Discovery,
69,Tears of Denial VFX,
70,Is Dead Test Condition,
71,Spell Power Boost,
75,Green Blossom VFX,
76,Modify Rune Gain,
78,Unknown,
79,Unknown,
91,Unknown,
95,Applies Chamelon effect,
96,Applies Dragon Form effect,
98,MP Detection,
99,MP Wait for Cooperation,
100,MP Cooperation,
101,MP Cooperation Sent,
102,Wax Slow Down,
103,Used for Evil Eye effect,
104,MP Wait for Cooperation,
105,MP Cooperation LV 1,
106,MP Cooperation LV 2,
107,MP Cooperation LV 3,
108,Used for Evil Eye effect (1),
109,Used for Evil Eye effect (2),
110,Counter Damage,
112,1409F7282_HKS,
113,Unknown,
114,Unknown,
115,Backstep Animation Change,
116,Death,
117,Death,Instant Death animation
118,Disable Death,
119,Unknown,
120,Damage Level Change before Poise Break,
121,Damage Level Change,
122,Unknown,
123,Trigger on Roll (Head),
124,Trigger on Roll (Body),
125,Trigger on Roll (Hands),
126,Trigger on Roll (Legs),
127,Mimic Sleep,
128,Mimic Sleep,
130,Mimic Sleep,
131,Mimic Sleep,
132,Change Team Type,
133,Enable Developer Messages,
134,Iron Flesh,
135,Mimic Sleep,
136,Death,
137,ResonanceLvl 0,
138,ResonanceLvl 1,
139,ResonanceLvl 2,
140,ResonanceLvl 3,
141,ResonanceLvl 4,
142,NPC Behavior ID Change,
143,Character Respawn,
144,Unknown,
146,Restore Durability,
147,Cast Light,
148,Unknown,
149,White Relief Magic,
150,Black Relief Magic,
151,Lightning Weapon Buff VFX,
152,Enable Attack Effect against Enemy,
153,Enable Attack Effect against Player,
154,Block Estus usage,
155,Modify Poise,
156,Disable Durability,
157,Transient Curse,
158,Left-hand Buff VFX,
159,Destroy Accessory but Save Runes,
160,Rare Ring of Sacrifice [DS1],
161,Warp to Grace,
162,Warp to Grace,
163,Warp to Grace,
164,Warp to Grace,
165,Warp to Grace,
166,Pledge Discarded,
167,Dragon Change VFX,
168,Bow Distance Change,
169,Unknown,
170,Karmic Justice Counter,
171,Karmic Justice,Used for Behavior Change
173,Ritual,
174,Power of Evil Spirits,
175,Revival Production,
176,Aural Decoy,
177,Unknown,
179,DeathEffectLv1,
180,DeathEffectLv2,
181,DeathEffectLv3,
182,DeathEffectLv4,
183,BlueSignVisualization,
184,Hide Weapon,
185,Unknown,
186,Unknown,
188,Unknown,
189,Unknown,
190,Unknown,
191,Unknown,
192,Unknown,
193,Modify Effect Duration,
194,CompareWith203,
195,Unknown,
196,IfWorldChrManNull,
197,Enhance Thrusting Counter Attacks,
198,Unknown,
199,Apply Kill Effect,
200,Power Within VFX,
201,VowOfSilenceVisual,
202,Dragon Roar,
203,CompareWith194,
204,Great Magic Shield,
205,Holy Weapon Buff VFX,
206,Unknown,
207,Jailer HP Drain,
213,Trigger on Enemy Backstab,
221,Unknown,
222,ItemBan,
223,Unknown,
224,Unknown,
232,DisableUseAtColiseum,
237,Calamity Ring,
252,Oil,
253,Fire,
259,Unknown,
260,Frostbite,
261,Remove Effect If Torch In Hand,
