ID,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
1000,Crimson Amber Medallion,緋琥珀のメダリオン,红琥珀链坠,Медальйон багряного бурштину,,Медальон с багровым янтарём,,
1001,Crimson Amber Medallion +1,緋琥珀のメダリオン＋１,红琥珀链坠＋１,Медальйон багряного бурштину +1,,Медальон с багровым янтарём +1,,
1002,Crimson Amber Medallion +2,緋琥珀のメダリオン＋２,红琥珀链坠＋２,Медальйон багряного бурштину +2,,Медальон с багровым янтарём +2,,
1010,Cerulean Amber Medallion,青琥珀のメダリオン,蓝琥珀链坠,Медальйон лазурового бурштину,,Медальон с лазурным янтарём,,
1011,Cerulean Amber Medallion +1,青琥珀のメダリオン＋１,蓝琥珀链坠＋１,Медальйон лазурового бурштину +1,,Медальон с лазурным янтарём +1,,
1012,Cerulean Amber Medallion +2,青琥珀のメダリオン＋２,蓝琥珀链坠＋２,Медальйон лазурового бурштину +2,,Медальон с лазурным янтарём +2,,
1020,Viridian Amber Medallion,緑琥珀のメダリオン,绿琥珀链坠,Медальйон зеленого бурштину,,Медальон с зелёным янтарём,,
1021,Viridian Amber Medallion +1,緑琥珀のメダリオン＋１,绿琥珀链坠＋１,Медальйон зеленого бурштину +1,,Медальон с зелёным янтарём +1,,
1022,Viridian Amber Medallion +2,緑琥珀のメダリオン＋２,绿琥珀链坠＋２,Медальйон зеленого бурштину +2,,Медальон с зелёным янтарём +2,,
1030,Arsenal Charm,武具塊のお守り,众武护符,Зброярний амулет,,Оружейный талисман,,
1031,Arsenal Charm +1,武具塊のお守り＋１,众武护符＋１,Зброярний амулет +1,,Оружейный талисман +1,,
1032,Great-Jar's Arsenal,大壺の武具塊,大壶众武护符,Зброярня Великого Горщика,,Склад великого кувшина,,
1040,Erdtree's Favor,黄金樹の恩寵,黄金树的恩惠,Милість Золотого дерева,,Милость Древа Эрд,,
1041,Erdtree's Favor +1,黄金樹の恩寵＋１,黄金树的恩惠＋１,Милість Золотого дерева +1,,Милость Древа Эрд +1,,
1042,Erdtree's Favor +2,黄金樹の恩寵＋２,黄金树的恩惠＋２,Милість Золотого дерева +2,,Милость Древа Эрд +2,,
1050,Radagon's Scarseal,ラダゴンの刻印,拉达冈的烙印,Тавро шраму Радаґона,,Печать Радагона от шрамов,,
1051,Radagon's Soreseal,ラダゴンの爛れ刻印,拉达冈的糜烂烙印,Тавро болю Радаґона,,Печать Радагона от боли,,
1060,Starscourge Heirloom,星砕きの伝承,碎星的传说,Реліквія Бича зірок,,Наследие Бича Звёзд,,
1070,Prosthesis-Wearer Heirloom,義手剣士の伝承,义手剑士的传说,Реліквія власниці протеза,,Наследие Протезоносителя,,
1080,Stargazer Heirloom,星見少女の伝承,观星少女的传说,Реліквія астролога,,Наследие звездочётов,,
1090,Two Fingers Heirloom,二本指の伝承,双指的传说,Реліквія Двох Перстів,,Наследие Двух Пальцев,,
1100,Silver Scarab,銀のスカラベ,银色粪金龟,Срібний скарабей,,Серебряный скарабей,,
1110,Gold Scarab,金のスカラベ,金色粪金龟,Золотий скарабей,,Золотой скарабей,,
1140,Moon of Nokstella,ノクステラの月,诺克史黛拉之月,Місяць Нокстелли,,Луна Нокстеллы,,
1150,Green Turtle Talisman,緑亀のタリスマン,绿龟护符,Талісман зеленої черепахи,,Талисман с зелёной черепахой,,
1160,Stalwart Horn Charm,頑健の角飾り,健壮角饰品,Амулет незламного рогу,,Амулет из крепкого рога,,
1161,Stalwart Horn Charm +1,頑健の角飾り＋１,健壮角饰品＋１,Амулет незламного рогу +1,,Амулет из крепкого рога +1,,
1170,Immunizing Horn Charm,免疫の角飾り,免疫角饰品,Амулет захисного рогу,,Амулет из защитного рога,,
1171,Immunizing Horn Charm +1,免疫の角飾り＋１,免疫角饰品＋１,Амулет захисного рогу +1,,Амулет из защитного рога +1,,
1180,Clarifying Horn Charm,正気の角飾り,理智角饰品,Амулет рогу очищення розуму,,Амулет из просветляющего рога,,
1181,Clarifying Horn Charm +1,正気の角飾り＋１,理智角饰品＋１,Амулет рогу очищення розуму +1,,Амулет из просветляющего рога +1,,
1190,Prince of Death's Pustule,死王子の瘡,死王子的脓疮,Гнояк Принца смерті,,Пустула принца Смерти,,
1191,Prince of Death's Cyst,死王子の業瘡,死王子的恶性脓疮,Кіста Принца смерті,,Киста принца Смерти,,
1200,Mottled Necklace,斑色の首飾り,斑斓项链,Ряба підвіска,,Пёстрое ожерелье,,
1201,Mottled Necklace +1,斑色の首飾り＋１,斑斓项链＋１,Ряба підвіска +1,,Пёстрое ожерелье +1,,
1210,Bull-Goat's Talisman,大山羊のタリスマン,大山羊护符,Талісман козлобика,,Талисман овцебыка,,
1220,Marika's Scarseal,マリカの刻印,玛莉卡的烙印,Тавро шраму Маріки,,Печать Марики от шрамов,,
