c-Zei,Weapon Name,Skill Name,behaviorVariationId,swordArtsParamId,swordArtsId,,,,,,,,,,,,,,,
Hammers,,,"
",,,,,,,,,,,,,,,,,
, Envoy's Horn,Oracular Bubble,1110,1003,235798914,,,,,,,,,,,,,,,
,Envoy's Long Horn,Bubble Shower,1216,1004,320012694,,,,,,,,,,,,,,,
,Envoy's Greathorn,Great Oracular Bubble,2306,1005,421069216,,,,,,,,,,,,,,,
,Marika's Hammer,Gold Breaker,1115,1029,269484418,,,,,,,,,,,,,,,
,Beastclaw Greathammer ,Regal Beastclaw,1201,1044,336855446,,,,,,,,,,,,,,,
,Ringed Finger,Claw Flick,1113,1046,235798914,,,,,,,,,,,,,,,
,Scepter of the All-Knowing,Knowledge Above All,1116,1182,218956418,,,,,,,,,,,,,,,
,Devourer's Scepter,Devourer of Worlds,1202,1183,336855446,,,,,,,,,,,,,,,
,Nox Flowing Hammer,Flowing Form,1112,1035,286327170,,,,,,,,,,,,,,,
Axes,,,,,,,,,,,,,,,,,,,,
,Rosus' Axe,Rosus's Summons,1412,1185,269484910,,,,,,,,,,,,,,,
,Stormhawk Axe,Thunderstorm,1414,1186,269484910,,,,,,,,,,,,,,,
,Axe of Godrick,"I Command Thee, Kneel!",1504,1030,336855928,,,,,,,,,,,,,,,
,Winged Greathorn,Soul Stiffler,1511,1013,336855928,,,,,,,,,,,,,,,
Reapers,,,,,,,,,,,,,,,,,,,,
,Winged Scythe,Angel's Wings,1906,1189,370541086,,,,,,,,,,,,,,,
,Halo Scythe,Miquella's ring of light,1902,1051,252641480,,,,,,,,,,,,,,,
Spears,,,,,,,,,,,,,,,,,,,,
,Cleanrot Spear,Sacred Phalanx,1604,1187,269484714,,,,,,,,,,,,,,,
,Bolt of Gransax,Ancient Lightning Spear,1602,1049,336855722,,,,,,,,,,,,,,,
,Death Ritual Spear,Spearcall Ritual,1612,1024,303170218,,,,,,,,,,,,,,,
,Siluria’s Tree,Siluria’s woe,1702,1009,370541236,,,,,,,,,,,,,,,
,Serpent-Hunter,Great-Serpent Hunt,1703,1188,404226740,,,,,,,,,,,,,,,
,Vyke's War Spear,Frenzyflame Thrust,1705,1050,336855732,,,,,,,,,,,,,,,
,Treespear,Sacred Order,1707,604,353698484,,,,,,,,,,,,,,,
,Mohgwyn's Sacred Spear,Bloodboon Ritual,1711,1034,370541236,,,,,,,,,,,,,,,
Halberds ,,,,,,,,,,,,,,,,,,,,
,Commander's Standard,Rallying Standard,1804,1010,286327486,,,,,,,,,,,,,,,
Twinblade,,,,,,,,,,,,,,,,,,,,
,Eleonora's Poleblade,Blood Blade Dance,1005,1179,235799140,,,,,,,,,,,,,,,
Flail/Whip,,,,,,,,,,,,,,,,,,,,
,Bastard's Stars,Nebula,1301,1047,252641676,,,,,,,,,,,,,,,
,Family Heads,Familial Rancor,1302,1184,252641676,,,,,,,,,,,,,,,
,Magma whip,Sea of Magma,703,1172,185270342,,,,,,,,,,,,,,,
