ID,Hex,NAME,説明 (日本語-japanese),描述 (中文-chinese),Опис (українська-ukrainian),Beschreibung (deutsch-german),Описание (русский-russian),La description (français-french),설명 (한국어-korean)
12000,2EE0,??,【グール王テスト用】遠距離槍,,[ERROR],,,,
13000,32C8,??,【アニメ確認用】中盾,,[ERROR],,,,
110000,1ADB0,Unarmed,素手,徒手,Без зброї,,Без оружия,,
1000000,F4240,Dagger,ダガー,匕首,Кинджал,,Кинжал,Dague,
1000100,F42A4,Heavy Dagger,重厚なダガー,厚重匕首,Важкий кинджал,,Тяжёлый кинжал,,
1000200,F4308,Keen Dagger,鋭利なダガー,锋利匕首,Стрімкий кинджал,,Острый кинжал,,
1000300,F436C,Quality Dagger,上質なダガー,优质匕首,Якісний кинджал,,Качественный кинжал,,
1000400,F43D0,Fire Dagger,炎のダガー,火焰匕首,Вогняний кинджал,,Огненный кинжал,,
1000500,F4434,Flame Art Dagger,炎術のダガー,焰术匕首,Полум'яний кинджал,,Пылающий кинжал,,
1000600,F4498,Lightning Dagger,雷のダガー,雷电匕首,Блискавковий кинджал,,Громовой кинжал,,
1000700,F44FC,Sacred Dagger,神聖なダガー,神圣匕首,Священний кинджал,,Священный кинжал,,
1000800,F4560,Magic Dagger,魔力のダガー,魔力匕首,Магічний кинджал,,Зачарованный кинжал,,
1000900,F45C4,Cold Dagger,冷たいダガー,寒冷匕首,Морозний кинджал,,Морозный кинжал,,
1001000,F4628,Poison Dagger,毒のダガー,毒匕首,Отруйний кинджал,,Отравленный кинжал,,
1001100,F468C,Blood Dagger,血のダガー,血匕首,Кривавий кинджал,,Кровавый кинжал,,
1001200,F46F0,Occult Dagger,神秘のダガー,神秘匕首,Окультний кинджал,,Оккультный кинжал,,
1010000,F6950,Black Knife,黒き刃,黑刀,Чорний ніж,,Чёрный нож,,
1020000,F9060,Parrying Dagger,パリングダガー,格挡匕首,Кинджал парирування,,Дага,,
1020100,F90C4,Heavy Parrying Dagger,重厚なパリングダガー,厚重格挡匕首,Важкий кинджал парирування,,Тяжёлая дага,,
1020200,F9128,Keen Parrying Dagger,鋭利なパリングダガー,锋利格挡匕首,Стрімкий кинджал парирування,,Острая дага,,
1020300,F918C,Quality Parrying Dagger,上質なパリングダガー,优质格挡匕首,Якісний кинджал парирування,,Качественная дага,,
1020400,F91F0,Fire Parrying Dagger,炎のパリングダガー,火焰格挡匕首,Вогняний кинджал парирування,,Огненная дага,,
1020500,F9254,Flame Art Parrying Dagger,炎術のパリングダガー,焰术格挡匕首,Полум'яний кинджал парирування,,Пылающая дага,,
1020600,F92B8,Lightning Parrying Dagger,雷のパリングダガー,雷电格挡匕首,Блискавковий кинджал парирування,,Громовая дага,,
1020700,F931C,Sacred Parrying Dagger,神聖なパリングダガー,神圣格挡匕首,Священний кинджал парирування,,Священная дага,,
1020800,F9380,Magic Parrying Dagger,魔力のパリングダガー,魔力格挡匕首,Магічний кинджал парирування,,Зачарованная дага,,
1020900,F93E4,Cold Parrying Dagger,冷たいパリングダガー,寒冷格挡匕首,Морозний кинджал парирування,,Морозная дага,,
1021000,F9448,Poison Parrying Dagger,毒のパリングダガー,毒格挡匕首,Отруйний кинджал парирування,,Отравленная дага,,
1021100,F94AC,Blood Parrying Dagger,血のパリングダガー,血格挡匕首,Кривавий кинджал парирування,,Кровавая дага,,
1021200,F9510,Occult Parrying Dagger,神秘のパリングダガー,神秘格挡匕首,Окультний кинджал парирування,,Оккультная дага,,
1030000,FB770,Miséricorde,慈悲の短剣,慈悲短剑,Мізерикордія,,Мизерикорд,,
1030100,FB7D4,Heavy Miséricorde,重厚な慈悲短剣,厚重慈悲短剑,Важка мізерикордія,,Тяжёлый мизерикорд,,
1030200,FB838,Keen Miséricorde,鋭利な慈悲短剣,锋利慈悲短剑,Стрімка мізерикордія,,Острый мизерикорд,,
1030300,FB89C,Quality Miséricorde,上質な慈悲短剣,优质慈悲短剑,Якісна мізерикордія,,Качественный мизерикорд,,
1030400,FB900,Fire Miséricorde,炎の慈悲短剣,火焰慈悲短剑,Вогняна мізерикордія,,Огненный мизерикорд,,
1030500,FB964,Flame Art Miséricorde,炎術の慈悲短剣,焰术慈悲短剑,Полум'яна мізерикордія,,Пылающий мизерикорд,,
1030600,FB9C8,Lightning Miséricorde,雷の慈悲短剣,雷电慈悲短剑,Блискавкова мізерикордія,,Громовой мизерикорд,,
1030700,FBA2C,Sacred Miséricorde,神聖な慈悲短剣,神圣慈悲短剑,Священна мізерикордія,,Священный мизерикорд,,
1030800,FBA90,Magic Miséricorde,魔力の慈悲短剣,魔力慈悲短剑,Магічна мізерикордія,,Зачарованный мизерикорд,,
1030900,FBAF4,Cold Miséricorde,冷たい慈悲短剣,寒冷慈悲短剑,Морозна мізерикордія,,Морозный мизерикорд,,
1031000,FBB58,Poison Miséricorde,毒の慈悲短剣,毒慈悲短剑,Отруйна мізерикордія,,Отравленный мизерикорд,,
1031100,FBBBC,Blood Miséricorde,血の慈悲短剣,血慈悲短剑,Кривава мізерикордія,,Кровавый мизерикорд,,
1031200,FBC20,Occult Miséricorde,神秘の慈悲短剣,神秘慈悲短剑,Окультна мізерикордія,,Оккультный мизерикорд,,
1040000,FDE80,Reduvia,レドゥビア,逆刺,Редувія,,Редувия,,
1050000,100590,Crystal Knife,結晶ナイフ,结晶小刀,Кристалічний ніж,,Кристальный нож,,
1060000,102CA0,Celebrant's Sickle,祝祭の手鎌,庆典小镰刀,Урочистий серп,,Праздничный серп,,
1060100,102D04,Celebrant's Heavy Sickle,重厚な祝祭手鎌,厚重庆典小镰刀,Важкий урочистий серп,,Тяжёлый праздничный серп,,
1060200,102D68,Celebrant's Keen Sickle,鋭利な祝祭手鎌,锋利庆典小镰刀,Стрімкий урочистий серп,,Острый праздничный серп,,
1060300,102DCC,Celebrant's Quality Sickle,上質な祝祭手鎌,优质庆典小镰刀,Якісний урочистий серп,,Качественный праздничный серп,,
1060400,102E30,Celebrant's Fire Sickle,炎の祝祭手鎌,火焰庆典小镰刀,Вогняний урочистий серп,,Огненный праздничный серп,,
1060500,102E94,Celebrant's Flame Art Sickle,炎術の祝祭手鎌,焰术庆典小镰刀,Полум'яний урочистий серп,,Пылающий праздничный серп,,
1060600,102EF8,Celebrant's Lightning Sickle,雷の祝祭手鎌,雷电庆典小镰刀,Блискавковий урочистий серп,,Громовой праздничный серп,,
1060700,102F5C,Celebrant's Sacred Sickle,神聖な祝祭手鎌,神圣庆典小镰刀,Священний урочистий серп,,Священный праздничный серп,,
1060800,102FC0,Celebrant's Magic Sickle,魔力の祝祭手鎌,魔力庆典小镰刀,Магічний урочистий серп,,Зачарованный праздничный серп,,
1060900,103024,Celebrant's Cold Sickle,冷たい祝祭手鎌,寒冷庆典小镰刀,Морозний урочистий серп,,Морозный праздничный серп,,
1061000,103088,Celebrant's Poison Sickle,毒の祝祭手鎌,毒庆典小镰刀,Отруйний урочистий серп,,Отравленный праздничный серп,,
1061100,1030EC,Celebrant's Blood Sickle,血の祝祭手鎌,血庆典小镰刀,Кривавий урочистий серп,,Кровавый праздничный серп,,
1061200,103150,Celebrant's Occult Sickle,神秘の祝祭手鎌,神秘庆典小镰刀,Окультний урочистий серп,,Оккультный праздничный серп,,
1070000,1053B0,Glintstone Kris,輝石のクリス,辉石克力士,Крис із блискаменів,,Крис из блестящих камней,,
1080000,107AC0,Scorpion's Stinger,蠍の針,蝎尾针,Жало скорпіона,,Жало скорпиона,,
1090000,10A1D0,Great Knife,大型ナイフ,单刃小刀,Великий ніж,,Большой нож,,
1090100,10A234,Heavy Great Knife,重厚な大型ナイフ,厚重单刃小刀,Важкий великий ніж,,Тяжёлый большой нож,,
1090200,10A298,Keen Great Knife,鋭利な大型ナイフ,锋利单刃小刀,Стрімкий великий ніж,,Острый большой нож,,
1090300,10A2FC,Quality Great Knife,上質な大型ナイフ,优质单刃小刀,Якісний великий ніж,,Качественный большой нож,,
1090400,10A360,Fire Great Knife,炎の大型ナイフ,火焰单刃小刀,Вогняний великий ніж,,Огненный большой нож,,
1090500,10A3C4,Flame Art Great Knife,炎術の大型ナイフ,焰术单刃小刀,Полум'яний великий ніж,,Пылающий большой нож,,
1090600,10A428,Lightning Great Knife,雷の大型ナイフ,雷电单刃小刀,Блискавковий великий ніж,,Громовой большой нож,,
1090700,10A48C,Sacred Great Knife,神聖な大型ナイフ,神圣单刃小刀,Священний великий ніж,,Священный большой нож,,
1090800,10A4F0,Magic Great Knife,魔力の大型ナイフ,魔力单刃小刀,Магічний великий ніж,,Зачарованный большой нож,,
1090900,10A554,Cold Great Knife,冷たい大型ナイフ,寒冷单刃小刀,Морозний великий ніж,,Морозный большой нож,,
1091000,10A5B8,Poison Great Knife,毒の大型ナイフ,毒单刃小刀,Отруйний великий ніж,,Отравленный большой нож,,
1091100,10A61C,Blood Great Knife,血の大型ナイフ,血单刃小刀,Кривавий великий ніж,,Кровавый большой нож,,
1091200,10A680,Occult Great Knife,神秘の大型ナイフ,神秘单刃小刀,Окультний великий ніж,,Оккультный большой нож,,
1100000,10C8E0,Wakizashi,脇差,胁差,Вакідзаші,,Вакидзаси,,
1100100,10C944,Heavy Wakizashi,重厚な脇差,厚重胁差,Важкий вакідзаші,,Тяжёлый вакидзаси,,
1100200,10C9A8,Keen Wakizashi,鋭利な脇差,锋利胁差,Стрімкий вакідзаші,,Острый вакидзаси,,
1100300,10CA0C,Quality Wakizashi,上質な脇差,优质胁差,Якісний вакідзаші,,Качественный вакидзаси,,
1100400,10CA70,Fire Wakizashi,炎の脇差,火焰胁差,Вогняний вакідзаші,,Огненный вакидзаси,,
1100500,10CAD4,Flame Art Wakizashi,炎術の脇差,焰术胁差,Полум'яний вакідзаші,,Пылающий вакидзаси,,
1100600,10CB38,Lightning Wakizashi,雷の脇差,雷电胁差,Блискавковий вакідзаші,,Громовой вакидзаси,,
1100700,10CB9C,Sacred Wakizashi,神聖な脇差,神圣胁差,Священний вакідзаші,,Священный вакидзаси,,
1100800,10CC00,Magic Wakizashi,魔力の脇差,魔力胁差,Магічний вакідзаші,,Зачарованный вакидзаси,,
1100900,10CC64,Cold Wakizashi,冷たい脇差,寒冷胁差,Морозний вакідзаші,,Морозный вакидзаси,,
1101000,10CCC8,Poison Wakizashi,毒の脇差,毒胁差,Отруйний вакідзаші,,Отравленный вакидзаси,,
1101100,10CD2C,Blood Wakizashi,血の脇差,血胁差,Кривавий вакідзаші,,Кровавый вакидзаси,,
1101200,10CD90,Occult Wakizashi,神秘の脇差,神秘胁差,Окультний вакідзаші,,Оккультный вакидзаси,,
1110000,10EFF0,Cinquedea,チンクエディア,五指剑,Чинкведея,,Чинкуэда,,
1130000,113E10,Ivory Sickle,象牙の手鎌,象牙小镰刀,Серп із бивня,,Серп из слоновой кости,,
1140000,116520,Bloodstained Dagger,血汚れた短刀,染血短刀,Закривавлений кинджал,,Кровавый кинжал,,
1140100,116584,Heavy Bloodstained Dagger,重厚な血汚れ短刀,厚重染血短刀,Важкий закривавлений кинджал,,Тяжёлый кровавый кинжал,,
1140200,1165E8,Keen Bloodstained Dagger,鋭利な血汚れ短刀,锋利染血短刀,Стрімкий закривавлений кинджал,,Острый кровавый кинжал,,
1140300,11664C,Quality Bloodstained Dagger,上質な血汚れ短刀,优质染血短刀,Якісний закривавлений кинджал,,Качественный кровавый кинжал,,
1140400,1166B0,Fire Bloodstained Dagger,炎の血汚れ短刀,火焰染血短刀,Вогняний закривавлений кинджал,,Огненный кровавый кинжал,,
1140500,116714,Flame Art Bloodstained Dagger,炎術の血汚れ短刀,焰术染血短刀,Полум'яний закривавлений кинджал,,Пылающий кровавый кинжал,,
1140600,116778,Lightning Bloodstained Dagger,雷の血汚れ短刀,雷电染血短刀,Блискавковий закривавлений кинджал,,Громовой кровавый кинжал,,
1140700,1167DC,Sacred Bloodstained Dagger,神聖な血汚れ短刀,神圣染血短刀,Священний закривавлений кинджал,,Священный кровавый кинжал,,
1140800,116840,Magic Bloodstained Dagger,魔力の血汚れ短刀,魔力染血短刀,Магічний закривавлений кинджал,,Зачарованный кровавый кинжал,,
1140900,1168A4,Cold Bloodstained Dagger,冷たい血汚れ短刀,寒冷染血短刀,Морозний закривавлений кинджал,,Морозный кровавый кинжал,,
1141000,116908,Poison Bloodstained Dagger,毒の血汚れ短刀,毒染血短刀,Отруйний закривавлений кинджал,,Отравленный кровавый кинжал,,
1141100,11696C,Blood Bloodstained Dagger,血の血汚れ短刀,血染血短刀,Кривавий закривавлений кинджал,,Разрывающий кровавый кинжал,,
1141200,1169D0,Occult Bloodstained Dagger,神秘の血汚れ短刀,神秘染血短刀,Окультний закривавлений кинджал,,Оккультный кровавый кинжал,,
1150000,118C30,Erdsteel Dagger,黄銅の短刀,黄铜短刀,Кинджал із золотої сталі,,Кинжал из эрдстали,,
1150100,118C94,Heavy Erdsteel Dagger,重厚な黄銅短刀,厚重黄铜短刀,Важкий кинджал із золотої сталі,,Тяжёлый кинжал из эрдстали,,
1150200,118CF8,Keen Erdsteel Dagger,鋭利な黄銅短刀,锋利黄铜短刀,Стрімкий кинджал із золотої сталі,,Острый кинжал из эрдстали,,
1150300,118D5C,Quality Erdsteel Dagger,上質な黄銅短刀,优质黄铜短刀,Якісний кинджал із золотої сталі,,Качественный кинжал из эрдстали,,
1150400,118DC0,Fire Erdsteel Dagger,炎の黄銅短刀,火焰黄铜短刀,Вогняний кинджал із золотої сталі,,Огненный кинжал из эрдстали,,
1150500,118E24,Flame Art Erdsteel Dagger,炎術の黄銅短刀,焰术黄铜短刀,Полум'яний кинджал із золотої сталі,,Пылающий кинжал из эрдстали,,
1150600,118E88,Lightning Erdsteel Dagger,雷の黄銅短刀,雷电黄铜短刀,Блискавковий кинджал із золотої сталі,,Громовой кинжал из эрдстали,,
1150700,118EEC,Sacred Erdsteel Dagger,神聖な黄銅短刀,神圣黄铜短刀,Священний кинджал із золотої сталі,,Священный кинжал из эрдстали,,
1150800,118F50,Magic Erdsteel Dagger,魔力の黄銅短刀,魔力黄铜短刀,Магічний кинджал із золотої сталі,,Зачарованный кинжал из эрдстали,,
1150900,118FB4,Cold Erdsteel Dagger,冷たい黄銅短刀,寒冷黄铜短刀,Морозний кинджал із золотої сталі,,Морозный кинжал из эрдстали,,
1151000,119018,Poison Erdsteel Dagger,毒の黄銅短刀,毒黄铜短刀,Отруйний кинджал із золотої сталі,,Отравленный кинжал из эрдстали,,
1151100,11907C,Blood Erdsteel Dagger,血の黄銅短刀,血黄铜短刀,Кривавий кинджал із золотої сталі,,Кровавый кинжал из эрдстали,,
1151200,1190E0,Occult Erdsteel Dagger,神秘の黄銅短刀,神秘黄铜短刀,Окультний кинджал із золотої сталі,,Оккультный кинжал из эрдстали,,
1160000,11B340,Blade of Calling,使命の刃,使命短刀,Клинок поклику,,Клинок зова,,
2000000,1E8480,Longsword,ロングソード,长剑,Довгий меч,,Длинный меч,,
2000100,1E84E4,Heavy Longsword,重厚なロングソード,厚重长剑,Важкий довгий меч,,Тяжелый длинный меч,,
2000200,1E8548,Keen Longsword,鋭利なロングソード,锋利长剑,Стрімкий довгий меч,,Острый длинный меч,,
2000300,1E85AC,Quality Longsword,上質なロングソード,优质长剑,Якісний довгий меч,,Качественный длинный меч,,
2000400,1E8610,Fire Longsword,炎のロングソード,火焰长剑,Вогняний довгий меч,,Огненный длинный меч,,
2000500,1E8674,Flame Art Longsword,炎術のロングソード,焰术长剑,Полум'яний довгий меч,,Пылающий длинный меч,,
2000600,1E86D8,Lightning Longsword,雷のロングソード,雷电长剑,Блискавковий довгий меч,,Громовой длинный меч,,
2000700,1E873C,Sacred Longsword,神聖なロングソード,神圣长剑,Священний довгий меч,,Священный длинный меч,,
2000800,1E87A0,Magic Longsword,魔力のロングソード,魔力长剑,Магічний довгий меч,,Зачарованный длинный меч,,
